TICKER,ASOF_DATE,YR,QRT_NUM,REVENUE,COGS,GROSS_PROFIT,SGA_EXPENSES,OTHER_OPERATING_INCOME_OR_EXPENSES,OPERATING_EXPENSES,OPERATING_INCOME,TOTAL_NONOPERATING_INCOME_OR_EXPENSE,PRETAX_INCOME,INCOME_TAXES,INCOME_AFTER_TAXES,OTHER_INCOME,INCOME_FROM_CONTINUOUS_OPERATIONS,INCOME_FROM_DISCONTINUED_OPERATIONS,NET_INCOME,EBITDA,EBIT,BASIC_SHARES,DILUTED_SHARES,BASIC_EPS,DILUTED_EPS,SOURCE_FILE,LOAD_BATCH_ID,LOADED_AT
KO,3/7/2026,2025,Q4,11822000000,4797000000,7821000000,3234000000,-176000000,4680000000,2632000000,1731000000,2482000000,454000000,2521000000,0,2056000000,0,1905000000,770956100,836534200,5307288000,10631680000,0.52,0.34,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2025,Q3,12455000000,4714000000,6966000000,4046000000,-1044000000,4919000000,2141000000,209000000,3537000000,359000000,3113000000,0,2822000000,0,2781000000,836534200,579484900,5315840000,5321094000,0.34,0.4,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2025,Q2,12535000000,4163000000,6931000000,3636000000,-1370000000,4924000000,2273000000,267000000,2880000000,940000000,2056000000,0,1900000000,0,2414000000,579484900,487078100,5321094000,5331362000,0.4,0.41,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2025,Q1,11129000000,4613000000,7190000000,3549000000,-1573000000,3942000000,3270000000,479000000,4053000000,444000000,2822000000,0,2793000000,0,2471000000,487078100,644703900,5331362000,5335388000,0.41,0.64,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2024,Q4,11544000000,4664000000,7551000000,3351000000,-143000000,4026000000,2401000000,686000000,2500000000,622000000,1900000000,0,2450000000,0,2641000000,644703900,693266800,5335388000,5345914000,0.65,0.47,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2024,Q3,11854000000,4812000000,7065000000,3799000000,-359000000,4659000000,3367000000,425000000,3444000000,384000000,2793000000,0,2475000000,0,2245000000,693266800,493996100,5345914000,5341026000,0.48,0.6,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2024,Q2,12363000000,4235000000,6215000000,3667000000,-1338000000,3296000000,2075000000,356000000,2284000000,665000000,2450000000,0,2624000000,0,1456000000,493996100,421468000,5341026000,5339712000,0.61,0.61,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2024,Q1,11300000000,4634000000,7296000000,3321000000,-111000000,3537000000,3088000000,-57000000,3458000000,510000000,2475000000,0,2255000000,0,1737000000,421468000,512429900,5339712000,5340552000,0.61,0.39,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2023,Q4,10849000000,4657000000,7060000000,3185000000,-106000000,3409000000,2341000000,53000000,2960000000,609000000,2624000000,0,1474000000,0,1779000000,512429900,579682100,5340552000,5392238000,0.39,0.2,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2023,Q3,11953000000,4912000000,6663000000,3431000000,-130000000,4154000000,3405000000,1288000000,3084000000,994000000,2255000000,0,1740000000,0,2775000000,579682100,437983200,5392238000,5461042000,0.21,0.44,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2023,Q2,11972000000,4317000000,5612000000,3279000000,-951000000,2995000000,1672000000,186000000,3618000000,508000000,1474000000,0,1759000000,0,2042000000,437983200,381755100,5461042000,5534418000,0.44,0.54,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2023,Q1,10980000000,4513000000,6497000000,3203000000,-28000000,3704000000,2898000000,602000000,2763000000,887000000,1740000000,0,2795000000,0,2593000000,381755100,458300000,5534418000,5602486000,0.54,0.32,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2022,Q4,10125000000,4566000000,6495000000,2967000000,-368000000,3167000000,3016000000,41000000,2361000000,441000000,1759000000,0,2065000000,0,2607000000,458300000,498775100,5602486000,5676616000,0.32,-0.63,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2022,Q3,11063000000,4830000000,6400000000,3336000000,-45000000,3326000000,2722000000,23000000,2181000000,438000000,2795000000,0,2589000000,0,1678000000,498775100,386955000,5676616000,0,-0.65,0.33,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2022,Q2,11325000000,4091000000,5376000000,3122000000,-309000000,2793000000,2338000000,-117000000,2197000000,215000000,2065000000,0,2628000000,0,870000000,386955000,340715000,0,5845220000,0.34,0.32,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2022,Q1,10491000000,4088000000,6065000000,3017000000,-124000000,2695000000,2298000000,216000000,3010000000,355000000,2589000000,0,1703000000,0,1880000000,340715000,431427000,5845220000,591044000,0.32,0.27,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2021,Q4,9464000000,3977000000,6342000000,2669000000,-106000000,2883000000,1981000000,630000000,2420000000,503000000,2628000000,0,1000000000,0,2316000000,431427000,465457000,591044000,5957698000,0.28,0.12,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2021,Q3,10042000000,3787000000,5515000000,2589000000,-372000000,2156000000,2380000000,256000000,3092000000,421000000,1703000000,0,1818000000,0,1368000000,465457000,360702000,5957698000,6006550000,0.13,0.24,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2021,Q2,10129000000,3505000000,5033000000,2511000000,-173000000,2850000000,2164000000,593000000,3049000000,522000000,1000000000,0,2331000000,73000000,-2752000000,360702000,182247000,6006550000,6031696000,0.24,0.79,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2021,Q1,9020000000,3578000000,5181000000,1983000000,-202000000,3338000000,2499000000,61000000,2225000000,77000000,1818000000,0,1327000000,0,1447000000,182247000,394154100,6031696000,6049004000,0.8,0.34,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2020,Q4,8611000000,3471000000,4137000000,2648000000,-114000000,3241000000,2988000000,-210000000,1077000000,555000000,2331000000,0,-2717000000,0,1371000000,394154100,423273900,6049004000,0,0.34,0.28,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2020,Q3,8652000000,3013000000,5230000000,3224000000,-125000000,3088000000,2435000000,-884000000,2373000000,611000000,1327000000,0,1444000000,0,1182000000,423273900,324115000,0,0,0.29,0.33,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2020,Q2,7150000000,3371000000,5502000000,3116000000,-92000000,2894000000,1961000000,-241000000,2942000000,506000000,-2717000000,0,1372000000,0,550000000,324115000,0,0,0,0.33,0.71,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2020,Q1,8601000000,3566000000,5740000000,2996000000,-127000000,3077000000,2614000000,176000000,1833000000,3802000000,1444000000,0,1184000000,0,1046000000,0,0,0,0,0.71,0.35,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2019,Q4,9068000000,3767000000,6076000000,2767000000,-163000000,2815000000,2766000000,22000000,1085000000,230000000,1372000000,0,547000000,0,3448000000,0,0,0,0,0.36,0.18,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2019,Q3,9507000000,3921000000,5329000000,2914000000,-155000000,3112000000,1811000000,-425000000,1674000000,1252000000,1184000000,0,1050000000,0,1483000000,0,0,0,0,0.18,0.48,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2019,Q2,9997000000,3365000000,5038000000,2660000000,-225000000,3077000000,1510000000,-571000000,2624000000,323000000,547000000,0,3460000000,0,1237000000,0,0,0,0,0.48,0.58,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2019,Q1,8694000000,3440000000,5429000000,2887000000,-536000000,3649000000,2245000000,587000000,1507000000,-32000000,1050000000,0,1493000000,0,1449000000,0,0,0,0,0.59,0.36,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2018,Q4,8478000000,3346000000,5878000000,2541000000,-592000000,3439000000,2037000000,-456000000,515000000,378000000,3460000000,0,1236000000,0,3108000000,0,0,0,0,0.37,0.38,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2018,Q3,8775000000,3543000000,4888000000,3057000000,-194000000,4006000000,1963000000,-871000000,1428000000,839000000,1493000000,0,1453000000,0,1557000000,0,0,0,0,0.4,0.54,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2018,Q2,9421000000,2738000000,5159000000,3245000000,-826000000,3642000000,1386000000,-843000000,4299000000,401000000,1236000000,0,3111000000,0,770000000,0,0,0,0,0.55,0.59,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2018,Q1,7626000000,3155000000,5684000000,3180000000,-290000000,4229000000,2271000000,1440000000,1894000000,302000000,1453000000,0,1566000000,0,2114000000,0,0,0,0,0.6,0.39,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2017,Q4,8314000000,3394000000,6043000000,3352000000,-541000000,4231000000,2859000000,-247000000,1538000000,272000000,3111000000,0,771000000,0,2595000000,0,0,0,0,0.39,0.41,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2017,Q3,9078000000,3659000000,5605000000,3688000000,-222000000,4209000000,2141000000,20000000,1725000000,1250000000,1566000000,0,2122000000,0,1619000000,0,0,0,0,0.42,0.5,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2017,Q2,9702000000,3513000000,5615000000,4009000000,-297000000,4072000000,1518000000,-654000000,4361000000,415000000,771000000,0,2605000000,0,1710000000,0,0,0,0,0.51,0.61,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2017,Q1,9118000000,3794000000,6502000000,3912000000,-311000000,4428000000,2379000000,1826000000,1981000000,305000000,2122000000,0,1626000000,0,2447000000,0,0,0,0,0.62,0.45,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2016,Q4,9409000000,4131000000,7068000000,3761000000,-491000000,4471000000,2535000000,-315000000,1076000000,538000000,2605000000,0,1708000000,0,2676000000,0,0,0,0,0.45,0.36,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2016,Q3,10633000000,4471000000,6213000000,3937000000,-264000000,4873000000,2296000000,-375000000,2660000000,779000000,1626000000,0,2455000000,0,1751000000,0,0,0,0,0.365,0.48,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2016,Q2,11539000000,4069000000,5946000000,4207000000,-669000000,4312000000,1451000000,-51000000,3384000000,579000000,1708000000,0,2694000000,0,1866000000,0,0,0,0,0.49,0.6,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2016,Q1,10282000000,4054000000,6850000000,4204000000,-233000000,5064000000,2711000000,214000000,2205000000,520000000,2455000000,0,1769000000,0,2311000000,0,0,0,0,0.61,0.41,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2015,Q4,10000000000,4577000000,7408000000,4079000000,-726000000,4635000000,3170000000,-171000000,2228000000,925000000,2694000000,0,1890000000,0,2788000000,0,0,0,0,0.415,1.235,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2015,Q3,11427000000,4748000000,6608000000,4338000000,-128000000,4585000000,2376000000,123000000,3380000000,831000000,1769000000,0,2329000000,0,2054000000,0,0,0,0,1.24,0.44,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2015,Q2,12156000000,4103000000,6515000000,4507000000,-201000000,4117000000,2105000000,908000000,3525000000,575000000,1890000000,0,2800000000,0,1657000000,0,0,0,0,0.445,0.51,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2015,Q1,10711000000,4357000000,7346000000,4384000000,-128000000,4620000000,2472000000,282000000,2344000000,487000000,2329000000,0,2067000000,0,2224000000,0,0,0,0,0.515,0.345,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2014,Q4,10872000000,4630000000,7755000000,3989000000,-301000000,4765000000,3243000000,-64000000,2377000000,755000000,2800000000,0,1677000000,0,2800000000,0,0,0,0,0.35,0.33,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2014,Q3,11976000000,4819000000,6493000000,4319000000,-341000000,4517000000,2408000000,194000000,3084000000,823000000,2067000000,0,2246000000,0,1903000000,0,0,0,0,0.335,0.405,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2014,Q2,12574000000,4083000000,6725000000,4424000000,-132000000,4303000000,2183000000,291000000,3623000000,658000000,1677000000,0,2807000000,0,5749000000,0,0,0,0,0.41,0.44,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2014,Q1,10576000000,4315000000,7237000000,4385000000,-121000000,4644000000,2793000000,329000000,2725000000,539000000,2246000000,0,1916000000,0,2055000000,0,0,0,0,0.44,0.29,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2013,Q4,11040000000,4793000000,7760000000,4182000000,-214000000,4694000000,3294000000,216000000,2216000000,681000000,2807000000,0,5762000000,0,2369000000,0,0,0,0,0.29,0.215,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2013,Q3,12030000000,4989000000,6711000000,4430000000,-64000000,4567000000,2509000000,260000000,2927000000,992000000,1916000000,0,2067000000,0,1614000000,0,0,0,0,0.215,0.405,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2013,Q2,12749000000,4324000000,6827000000,4630000000,-70000000,4280000000,1956000000,173000000,3799000000,600000000,5762000000,0,2382000000,0,1543000000,0,0,0,0,0.41,0.305,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2013,Q1,11035000000,4628000000,7487000000,4497000000,-99000000,4681000000,2754000000,620000000,2516000000,443000000,2067000000,0,1626000000,0,1896000000,0,0,0,0,0.305,0.32,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2012,Q4,11455000000,4853000000,7861000000,4181000000,-275000000,4619000000,3179000000,232000000,6205000000,633000000,2382000000,0,1578000000,0,2037000000,0,0,0,0,0.325,0.26,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2012,Q3,12340000000,5224000000,6789000000,4406000000,-96000000,4569000000,2284000000,5082000000,2700000000,741000000,1626000000,0,1920000000,0,1348000000,0,0,0,0,0.26,0.355,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2012,Q2,13085000000,4348000000,6637000000,4523000000,-152000000,4285000000,1123000000,356000000,3123000000,553000000,1578000000,0,2049000000,0,995000000,0,0,0,0,0.36,0.4,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2012,Q1,11137000000,4403000000,7373000000,4417000000,-209000000,5092000000,2344000000,360000000,2179000000,382000000,1920000000,0,1359000000,0,1890000000,0,0,0,0,0.4,0.27,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2011,Q4,11040000000,4875000000,7748000000,4076000000,-545000000,3164000000,2763000000,-4000000,1960000000,523000000,2049000000,0,1005000000,0,1422000000,0,0,0,0,0.275,0.145,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2011,Q3,12248000000,4989000000,6569000000,4547000000,-100000000,2956000000,2183000000,180000000,2443000000,679000000,1359000000,0,1915000000,0,1500000000,0,0,0,0,0.145,0.31,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2011,Q2,12737000000,3948000000,6215000000,3064000000,-78000000,2801000000,1780000000,293000000,2728000000,456000000,1005000000,0,1443000000,0,1214000000,0,0,0,0,0.31,0.39,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2011,Q1,10517000000,4279000000,5508000000,2878000000,-96000000,3079000000,2150000000,290000000,1815000000,155000000,1915000000,0,1511000000,0,1654000000,0,0,0,0,0.39,0.235,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2010,Q4,10494000000,2918000000,5719000000,2705000000,-101000000,2960000000,2438000000,-48000000,1160000000,555000000,1443000000,0,1260000000,0,1851000000,0,0,0,0,0.235,0.18,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2010,Q3,8426000000,2955000000,4984000000,2978000000,-48000000,2916000000,1863000000,-546000000,2470000000,474000000,1511000000,0,1654000000,0,1262000000,0,0,0,0,0.18,0.27,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2010,Q2,8674000000,2541000000,4859000000,2912000000,-72000000,2716000000,1706000000,283000000,1917000000,448000000,1260000000,0,1851000000,0,678000000,0,0,0,0,0.27,0.36,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2010,Q1,7525000000,2651000000,5110000000,2844000000,-92000000,2852000000,2187000000,-762000000,1959000000,409000000,1654000000,0,1262000000,0,1460000000,0,0,0,0,0.36,0.21,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2009,Q4,7510000000,2934000000,5354000000,2624000000,-108000000,3186000000,2679000000,85000000,1669000000,459000000,1851000000,0,678000000,0,1836000000,0,0,0,0,0.21,0.25,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2009,Q3,8044000000,2913000000,4579000000,2744000000,-47000000,3205000000,1874000000,143000000,2113000000,557000000,1262000000,0,1460000000,0,1106000000,0,0,0,0,0.25,0.195,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2009,Q2,8267000000,2590000000,4558000000,3139000000,-110000000,2881000000,1526000000,284000000,2408000000,467000000,678000000,0,1836000000,0,864000000,0,0,0,0,0.195,0.325,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2009,Q1,7169000000,2568000000,5373000000,3095000000,-85000000,3164000000,1829000000,138000000,1729000000,208000000,1460000000,0,1106000000,0,1283000000,0,0,0,0,0.325,0.23,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2008,Q4,7126000000,3020000000,5884000000,2796000000,-125000000,2977000000,2270000000,102000000,886000000,366000000,1836000000,0,864000000,0,1723000000,0,0,0,0,0.23,0.19,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2008,Q3,8393000000,3162000000,4755000000,3039000000,-81000000,2727000000,1627000000,-326000000,1826000000,555000000,1106000000,0,1283000000,0,1002000000,0,0,0,0,0.19,0.25,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2008,Q2,9046000000,2624000000,4690000000,2896000000,-42000000,2331000000,1212000000,164000000,2391000000,369000000,864000000,0,1723000000,0,1201000000,0,0,0,0,0.25,0.275,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
KO,3/7/2026,2008,Q1,7379000000,2641000000,4806000000,2685000000,-6000000,2657000000,1662000000,352000000,1475000000,509000000,1283000000,0,1002000000,0,935000000,0,0,0,0,0.275,0.17,KO_INC-ST_QRTLY.xlsx,KO_INC-ST_QR-001,3/7/2026 19:01
